run,temperature,alpha,learning_rate,val_loss,val_kl_loss,val_ce_loss,student_perplexity,student_masked_accuracy,teacher_perplexity,teacher_masked_accuracy
0,3.1959818254342154,0.8561357327048255,3.1489116479568635e-05,10.76,11.3095,7.4895,1768.9169,0.049,4.1758,0.7034
1,1.4679835610086078,0.14885658999376852,0.0002481040974867811,5.9344,7.9933,5.5743,260.9808,0.1865,4.1758,0.7034
2,2.8033450352296265,0.7808967697396924,1.7073967431528114e-06,23.6781,27.5051,10.0387,22896.8672,0.0,4.1758,0.7034
3,3.909729556485983,0.028320199923264178,0.0006796578090758161,3.5358,6.0091,3.4637,31.7562,0.3872,4.1758,0.7034
4,1.5454749016213019,0.19898180850366579,0.002136832907235877,2.8179,2.9841,2.7766,16.0652,0.4982,4.1758,0.7034
5,1.0226419579488792,0.37788371639986007,0.008165528450509135,6.8046,6.1854,7.1808,1306.3989,0.0286,4.1758,0.7034
6,1.9143557315039623,0.36351607796437124,0.0064613496541664865,4.2606,5.1687,3.7419,41.8762,0.3662,4.1758,0.7034
7,2.0043855286697085,0.5777948621378441,0.0008345792463621339,3.7974,4.1505,3.3142,27.3629,0.4222,4.1758,0.7034
8,2.2216752099414907,0.22612730067852643,3.283101315108652e-05,8.3478,13.6875,6.7875,877.2149,0.0819,4.1758,0.7034
9,1.1028043394221942,0.48670559499158594,0.0018314407841925747,2.2757,1.7992,2.7276,15.3647,0.5042,4.1758,0.7034
10,1.0425766908744891,0.6133040131268745,5.8862661093640044e-06,6.8297,6.5426,7.2851,1450.7157,0.0351,4.1758,0.7034
11,1.5404156962350282,0.5231735167461513,0.001949199100989724,2.6652,2.6074,2.7286,15.2539,0.5113,4.1758,0.7034
12,1.6305088909603715,0.5520757384560326,0.00012915629316911462,8.0856,9.6578,6.1479,461.3655,0.1447,4.1758,0.7034
13,2.5510040429550074,0.707249458908784,0.002236010224674358,3.2695,3.3737,3.0179,20.3459,0.4766,4.1758,0.7034
14,1.3244818113966508,0.4551086486049924,0.0004959713565737145,3.6893,3.7317,3.6538,38.4815,0.3671,4.1758,0.7034
15,1.7999018966937346,0.43296269222403094,0.002311864682562359,2.8464,3.01,2.7215,15.2042,0.5106,4.1758,0.7034
16,1.2505843711341416,0.6499474554877177,6.953529260651919e-05,6.9662,7.323,6.3037,539.9303,0.1335,4.1758,0.7034
17,2.356771621464988,0.3151869137990918,0.0037132813019332745,3.0759,3.6815,2.7972,16.4097,0.4964,4.1758,0.7034
18,3.254840274447367,0.4915435972835651,0.001089931861170596,3.2203,3.527,2.9237,18.5511,0.4773,4.1758,0.7034
19,1.2653646180300584,0.7130694627928864,0.00017186772653901368,6.532,6.7829,5.9084,364.172,0.1569,4.1758,0.7034
20,2.0973804766187176,0.5206220733161164,0.0004326277961525464,4.2942,4.9132,3.6219,37.3353,0.4041,4.1758,0.7034
21,1.6074643795843666,0.23805224197154873,0.001780055111760459,2.8365,3.0467,2.7708,15.9662,0.4994,4.1758,0.7034
22,1.6933900135176967,0.015680346533179484,0.004025732874884221,3.2591,4.9066,3.2328,25.2603,0.4206,4.1758,0.7034
23,1.0024879128864477,0.1379820789297207,0.0084255902787786,7.015,5.9936,7.1784,1303.6199,0.0286,4.1758,0.7034
