Sweep,Alpha,LearningRate,StudentPerplexity,StudentMaskedAccuracy,ValCE,ValKL
1,0.8086000174,1.329291894e-05,2296.3618,0.0058,7.7349,17.5846
2,0.5128731267,0.0001570297,1427.9644,0.0849,7.2554,11.8040
3,0.1410353971,2.938027939e-06,42189.8008,0.0007,10.6487,26.6293
4,0.7375879625,1.493656855e-06,98644.3438,0.0001,11.4984,28.2682
5,0.6047809653,6.358358857e-05,2560.7852,0.0478,7.8395,13.1939
6,0.3155312458,0.0008144709,128.2262,0.2575,4.8547,6.6334
7,0.2196852779,0.0008102356,137.8835,0.2529,4.9188,6.7674
8,0.0425291680,0.0008947155,139.3100,0.2559,4.9296,6.7126
9,0.0191360782,0.0001552747,1519.9492,0.0800,7.3168,11.9426
10,0.0203413824,1.041809698e-05,3486.2664,0.0026,8.1530,19.7320
11,0.3795573318,0.0002780468,1043.2584,0.1179,6.9423,10.8969
12,0.1901348657,0.0008351522,165.0706,0.2424,5.1018,7.0680
13,0.2116559298,0.0009594400,104.3739,0.2772,4.6380,6.1515
14,0.1181882698,0.0002928909,104.3739,0.2772,4.6380,6.1515
15,0.2962824203,4.713885578e-05,2881.4949,0.0390,7.9574,13.4184
16,0.4533342701,0.0003207831,980.0460,0.1249,6.8804,10.6747
